,vender,url,product,description,image,in_stock,price,live
0,osume,https://osumekeys.com/products/mochi-accent-kit,mochi accent kit,mix and match with other flavours to create the tastiest combinations! base kit purchasable separately here.,http://cdn.shopify.com/s/files/1/0588/4228/4186/products/vanillaaccentlabelled.jpg?v=1658194226,True,$10,True
1,osume,https://osumekeys.com/collections/keycaps/products/dalgona,dalgona keycaps,"this item is still in preorder phase. for order updates, please visit here   dalgona themed keycap set   from a calming and refreshing whipped coffee to a fun korean childhood favorite, dalgona is a popular confectionary based from south korea.",http://cdn.shopify.com/s/files/1/0588/4228/4186/products/1.jpg?v=1653329195,False,,True
2,osume,https://osumekeys.com/collections/keycaps/products/matcha,matcha keycaps,"slight differences in colour may be noticeable when comparing with r1 base kits. we have attempted to visualize these slight changes in the render.   matcha inspired keycap set   a sophisticated take on an all time classic tea, matcha, inspired directly from the traditions of uji, japan. ",http://cdn.shopify.com/s/files/1/0588/4228/4186/products/productshotcopy.jpg?v=1674078755,True,$95,True
3,osume,https://osumekeys.com/collections/keycaps/products/dusk,dusk keycaps,"dusk inspired keycap set   inspired by an ephemeral pink and purple horizon, dusk captures the serene moment just before night falls.",http://cdn.shopify.com/s/files/1/0588/4228/4186/products/duskpurple.jpg?v=1640221719,False,,True
4,osume,https://osumekeys.com/collections/keycaps/products/sakura-novelty-kit,sakura novelty kit,"sakura inspired standalone novelty kit home to japan, sakuras are symbols for renewal, optimism and new beginnings.",http://cdn.shopify.com/s/files/1/0588/4228/4186/products/sakura_specialedition2.jpg?v=1671750828,True,$20,True
5,osume,https://osumekeys.com/collections/keycaps/products/year-of-the-tiger-novelty-kit,year of the tiger novelty kit,"limited edition   year of the tiger inspired novelty kits   finishing third place in the chinese zodiac race, our fierce little tiger friend proudly represents the year of 2022.",http://cdn.shopify.com/s/files/1/0588/4228/4186/products/YOTTnovelties-nolabel.jpg?v=1673031389,True,$20,True
6,osume,https://osumekeys.com/products/winterglow-eve-novelty-kit,winterglow eve novelty kit,winterglow eve inspired novelty kit the early morning sun casts its warm and luminous winter light upon the snow. such a sight marks the first day of the winter season.,http://cdn.shopify.com/s/files/1/0588/4228/4186/products/wgesenovelties.jpg?v=1673245399,False,,True
7,osume,https://osumekeys.com/collections/keycaps/products/sakura,sakura keycaps,"sakura inspired keycap set   a blanket of soft and calming pink invites the spring season. home to japan, sakuras are symbols for renewal, optimism and new beginnings.",http://cdn.shopify.com/s/files/1/0588/4228/4186/products/sakura.jpg?v=1636764886,True,$95,True
8,osume,https://osumekeys.com/products/dusk-twilight-kit,dusk novelty kit,"dusk inspired special edition novelty kit   inspired by an ephemeral pink and purple horizon, dusk captures the serene moment just before night falls.",http://cdn.shopify.com/s/files/1/0588/4228/4186/products/dusknoveltykit2.jpg?v=1671509736,False,,True
9,osume,https://osumekeys.com/products/winterglow-novelty-kit,winterglow novelty kit,winterglow inspired novelty kit the early morning sun casts its warm and luminous winter light upon the snow. such a sight marks the first day of the winter season.,http://cdn.shopify.com/s/files/1/0588/4228/4186/products/wgsenoveltiesnolabel-01.jpg?v=1673030872,False,,True
