,Unnamed: 0,vender,url,product,description,image,price,live,quantity,prices
0,0,KBDFans,https://kbdfans.com/collections/switches/products/kbdfans-gateron-silent-red-linear-switches?_pos=12&_fid=1c00d4e42&_ss=c,Gateron Silent red Linear Switches,Specs Linear 45 cN operating force 2.0 mm pre-travel 4.0 mm total travel PCB mount 5pin MX stem,http://cdn.shopify.com/s/files/1/1473/3902/products/1_2926d2d5-4be3-4e8e-98c5-99d0aa03d755_1200x1200.jpg?v=1652152451,$1.90,True,10 switches per pack,
1,1,KBDFans,https://kbdfans.com/collections/switches/products/cherry-mx-hyperglide-blue-tactile-switches?_pos=17&_fid=1c00d4e42&_ss=c,CHERRY MX Hyperglide Blue Tactile Switches,Specs Tactile and clicky 50 cN operating force 2.2 mm pre travel 4.0 mm total travel Plate mount 3pin MX stem   TRANSLATE with x English Arabic Hebrew Polish Bulgarian Hindi Portuguese Catalan Hmong Daw Romanian Chinese Simplified Hungarian Russian Chinese Traditional Indonesian Slovak Czech Italian Slovenian Danish Ja,http://cdn.shopify.com/s/files/1/1473/3902/products/1_f6e1c817-98a7-4962-97ac-bb5dca2ef29c_1200x1200.jpg?v=1652145951,$3.20,True,10 switches per pack,
2,2,KBDFans,https://kbdfans.com/collections/switches/products/zeal-tealios-v2-switches?_pos=25&_fid=1c00d4e42&_ss=c,ZEAL Tealios V2 Linear switches,"SPECS Manufactory: Gateron  Brand: Zeal PC Linear Mx switch Bottom out:67g PCB mount, 5-pin POM stem PC housing Total Travel:4mm Gold-plated spring The bottoming pressure is slightly larger than that of the red switch. The switch core has been improved to greatly reduce the shaking of the shaft while maintaining smooth",http://cdn.shopify.com/s/files/1/1473/3902/products/15_c05e5b9f-fdd6-49cf-9384-8ced9da93c9a_1200x1200.jpg?v=1650607262,$11.00,True,10 switches per pack,
3,3,KBDFans,https://kbdfans.com/collections/switches/products/cherry-mx-hyperglide-red-linear-switches?_pos=35&_fid=1c00d4e42&_ss=c,Cherry MX Hyperglide Red Linear Switches,Specs Hyperglide 5pins Red Linear 45 cN operating force 2.0 mm pre travel 4.0 mm total travel PCB mount 5pin MX stem  TRANSLATE with x English Arabic Hebrew Polish Bulgarian Hindi Portuguese Catalan Hmong Daw Romanian Chinese Simplified Hungarian Russian Chinese Traditional Indonesian Slovak Czech Italian Slovenian Dan,http://cdn.shopify.com/s/files/1/1473/3902/products/1_85249f88-7096-438e-b69f-8a94aa462aa1_1200x1200.jpg?v=1646024944,$3.50,True,10 switches per pack,
4,4,KBDFans,https://kbdfans.com/collections/switches/products/cherry-mx-hyperglide-speed-silver-linear-switches?_pos=14&_fid=1c00d4e42&_ss=c,CHERRY MX Hyperglide Speed silver Linear Switches,Specs Linear 45 cN operating force 1.2 mm pre travel 3.4 mm total travel Plate mount 3pin MX stem   TRANSLATE with x English Arabic Hebrew Polish Bulgarian Hindi Portuguese Catalan Hmong Daw Romanian Chinese Simplified Hungarian Russian Chinese Traditional Indonesian Slovak Czech Italian Slovenian Danish Japanese Spani,http://cdn.shopify.com/s/files/1/1473/3902/products/1_af8465d4-4b2c-4a61-8212-c65490b67f18_1200x1200.jpg?v=1652149324,$3.60,True,10 switches per pack,
5,5,KBDFans,https://kbdfans.com/collections/switches/products/cherry-rgb-blue-tactile-switches?_pos=20&_fid=1c00d4e42&_ss=c,Cherry RGB Blue Tactile Switches,Cherry RGB Blue Tactile &amp; Clicky 50 cN operating force 2.2 mm pre travel 4.0 mm total travel Plate mount 3pin MX stem  ,http://cdn.shopify.com/s/files/1/1473/3902/products/RGB_1_513c37df-8d29-4124-8de3-f477041b6c1f_1200x1200.jpg?v=1651652387,$3.80,True,10 switches per pack,
6,6,KBDFans,https://kbdfans.com/collections/switches/products/gateron-red-switches?_pos=29&_fid=1c00d4e42&_ss=c,GATERON Red Linear Switches,Specs  Red Linear 45 cN operating force 2.0 mm pre travel 4.0 mm total travel Plate mount 3pin/PCB mount 5pin MX stem,http://cdn.shopify.com/s/files/1/1473/3902/products/1_a61c8fa7-c5f1-442d-8d68-ae082c60c650_1200x1200.jpg?v=1648609238,$1.00,True,10 switches per pack,
7,7,KBDFans,https://kbdfans.com/collections/switches/products/kailh-fried-egg-silent-switch?_pos=41&_fid=1c00d4e42&_ss=c,Kailh BOX Fried Egg Silent Liner Switches,Specs: Linear 5pins Operating force: 42gf Bottom contact force: 60gf Pre-travel: 1.8±0.3mm Total travel: 3.6±0.3mm Mechanical life: 60million times Sold as one pack of 10 switches,http://cdn.shopify.com/s/files/1/1473/3902/products/2_b44d50d9-bad1-4aa0-8ca7-cf1901ae1932_1200x1200.jpg?v=1644996332,$6.60,True,10 switches per pack,
8,8,KBDFans,https://kbdfans.com/collections/switches/products/kbdfans-simple-style-deskmats-collection,KBDfans Simple Style Deskmats Collection,"SPECS Measurement: 900 mm x 400 mm x 4 mm Production Method: Stitched Edges Texture: Smooth Cloth Top Weight: 750g Friendly Reminds: Only deskmat included, no keyboard",http://cdn.shopify.com/s/files/1/1473/3902/products/dark1-5_1200x1200.jpg?v=1652938077,$7.50,True,,
9,9,KBDFans,https://kbdfans.com/collections/switches/products/cherry-mx-hyperglide-green-tactile-switches?_pos=33&_fid=1c00d4e42&_ss=c,Cherry MX Hyperglide Green Tactile Switches,Specs Hyperglide 5pins Green Tactile and clicky 70 cN operating force 2.2 mm pre travel 4.0 mm total travel PCB mount 5pin MX stem TRANSLATE with x English Arabic Hebrew Polish Bulgarian Hindi Portuguese Catalan Hmong Daw Romanian Chinese Simplified Hungarian Russian Chinese Traditional Indonesian Slovak Czech Italian ,http://cdn.shopify.com/s/files/1/1473/3902/products/1_8c0f0a5c-f548-4612-800b-2c6d613a283e_1200x1200.jpg?v=1646026824,$3.50,True,10 switches per pack,
10,10,KBDFans,https://kbdfans.com/collections/switches/products/gateron-oil-king-linear-switches?_pos=37&_fid=1c00d4e42&_ss=c,Gateron Oil King Linear Switches,"Specs Linear Stem: Black POM Actuation: 55±5gf Bottom Force: 65±5gf Spring: 20mm Total Travel: 4.0mm Top Housing: Black Nylon PA66 Bottom Housing: Black INK Housing Material PCB Mount, 5-Pin MX Style Factory Lubed 35 per unit TRANSLATE with x English Arabic Hebrew Polish Bulgarian Hindi Portuguese Catalan Hmong Daw Rom",http://cdn.shopify.com/s/files/1/1473/3902/products/2_0b379e4c-a4b1-48fd-8021-e31ac62983a3_1200x1200.jpg?v=1645259513,$22.75,True,35 switches per pack,
